"","date2","sel_tickers","am"
"1","2015-01-05"," PTR",140.597885714286
"2","2015-01-05"," GE",140.515228571429
"3","2015-01-05"," FB",141.409885714286
"4","2015-01-05"," MSFT",142.733914285714
"5","2015-01-05"," GOOGL",140.773157142857
"6","2015-01-05"," HSBC",142.023357142857
"7","2015-01-05","WFC",140.3768
"8","2015-01-06"," TOT",140.29179958033
"9","2015-01-06"," CVX",141.413752612349
"10","2015-01-06"," XOM",140.531465669895
"11","2015-01-06"," FB",139.229688938434
"12","2015-01-06"," MSFT",138.981832998404
"13","2015-01-06"," AAPL",140.833219298246
"14","2015-01-06"," HSBC",140.831426003402
"15","2015-01-07"," TOT",140.447194246696
"16","2015-01-07"," PTR",142.199396410423
"17","2015-01-07"," XOM",140.410224700371
"18","2015-01-07"," MSFT",141.064718957111
"19","2015-01-07"," AAPL",141.021716429791
"20","2015-01-07"," HSBC",140.949994106902
"21","2015-01-07","WFC",139.688750324407
"22","2015-01-08"," CVX",142.399476366314
"23","2015-01-08"," XOM",142.338442378213
"24","2015-01-08"," FB",143.468556940082
"25","2015-01-08"," MSFT",143.356346783831
"26","2015-01-08"," GOOGL",142.342343258394
"27","2015-01-08"," AAPL",144.255422211231
"28","2015-01-08","WFC",142.313980902132
"29","2015-01-09"," TOT",140.982945805154
"30","2015-01-09"," PTR",141.548128181586
"31","2015-01-09"," XOM",142.615234356711
"32","2015-01-09"," FB",142.084211040558
"33","2015-01-09"," MSFT",141.664097476609
"34","2015-01-09"," AAPL",142.087712701549
"35","2015-01-09"," HSBC",143.113327767055
"36","2015-01-12"," TOT",141.750357795853
"37","2015-01-12"," GE",141.4826620367
"38","2015-01-12"," GOOG",141.327895544221
"39","2015-01-12"," GOOGL",141.393548461704
"40","2015-01-12"," HSBC",141.734054627072
"41","2015-01-12"," C",140.784111018295
"42","2015-01-12"," JPM",140.935639599205
"43","2015-01-13"," TOT",140.446701677993
"44","2015-01-13"," PTR",140.836952568127
"45","2015-01-13"," GOOG",140.590335489856
"46","2015-01-13"," GOOGL",141.127471104737
"47","2015-01-13"," HSBC",140.544610693421
"48","2015-01-13"," JPM",140.342276702393
"49","2015-01-13","WFC",140.127886064887
"50","2015-01-14"," TOT",141.328586610677
"51","2015-01-14"," CVX",141.527259488383
"52","2015-01-14"," GE",141.346467591392
"53","2015-01-14"," XOM",141.822239440677
"54","2015-01-14"," GOOG",142.341406405894
"55","2015-01-14"," GOOGL",142.121563121777
"56","2015-01-14"," AAPL",141.553532721839
"57","2015-01-15"," TOT",142.506187412886
"58","2015-01-15"," PTR",141.03201440459
"59","2015-01-15"," GE",140.528213440623
"60","2015-01-15"," XOM",140.488347562212
"61","2015-01-15"," GOOG",140.660551717411
"62","2015-01-15"," GOOGL",140.361125382867
"63","2015-01-15"," HSBC",142.254464081091
"64","2015-01-16"," TOT",144.991985546259
"65","2015-01-16"," CVX",144.768199510892
"66","2015-01-16"," XOM",144.512647656027
"67","2015-01-16"," MSFT",144.015204236512
"68","2015-01-16"," C",143.868553682878
"69","2015-01-16"," JPM",144.397523020101
"70","2015-01-16","WFC",144.218669178996
"71","2015-01-20"," CVX",147.033810047561
"72","2015-01-20"," GE",144.456686002009
"73","2015-01-20"," FB",145.387737691498
"74","2015-01-20"," MSFT",144.676788995276
"75","2015-01-20"," AAPL",145.574427424487
"76","2015-01-20"," HSBC",144.523555841399
"77","2015-01-20","WFC",144.451675456928
"78","2015-01-21"," TOT",148.112019872116
"79","2015-01-21"," PTR",147.086436385557
"80","2015-01-21"," CVX",147.020026686733
"81","2015-01-21"," GE",146.437014852074
"82","2015-01-21"," GOOG",148.245550543041
"83","2015-01-21"," GOOGL",147.871493378233
"84","2015-01-21"," BAC",146.392799782649
"85","2015-01-22"," GOOG",150.956183308675
"86","2015-01-22"," GOOGL",151.337095785825
"87","2015-01-22"," AAPL",150.168417180569
"88","2015-01-22"," C",151.308002192261
"89","2015-01-22"," BAC",152.424901566441
"90","2015-01-22"," JPM",150.470813782431
"91","2015-01-22","WFC",150.901561007442
